Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Metodo,Diferenca_Absoluta,Erro_Percentual
Soro,20_1H,Acetone,HMDB01659,6.65980703794609,1.6,CSV,5.05980703794609,316.24
Soro,20_1H,Tartarate,,6.7659833734872,,CSV,,
Soro,20_1H,Glycerophosphocholine,,7.15935219139094,,CSV,,
Soro,20_1H,N-Acetyl-L-Aspartate,,8.39809563179789,,CSV,,
Soro,20_1H,TMAO,,8.43697191897127,,CSV,,
Soro,20_1H,Creatine,HMDB00064,9.19081643101349,6.0,CSV,3.1908164310134897,53.18
Soro,20_1H,alpha-Hydroxyisobutyrate,,11.4056744268616,,CSV,,
Soro,20_1H,Glutathione-oxidized,,11.7210161573522,,CSV,,
Soro,20_1H,4-EthylPhenol,,13.1782358112386,,CSV,,
Soro,20_1H,Adipate,,14.145038112692,,CSV,,
Soro,20_1H,Acetoacetate,HMDB00060,15.7508387390301,0.9,CSV,14.850838739030099,1650.09
Soro,20_1H,Mandelate,,16.0036327856012,,CSV,,
Soro,20_1H,beta-Hydroxyisovalerate,,16.7186037247094,,CSV,,
Soro,20_1H,Butyrate,HMDB00039,17.7441846115718,,CSV,,
Soro,20_1H,Dimethylsulfone,,19.023628389866,,CSV,,
Soro,20_1H,Trans-Acotinate,,20.326026975244,,CSV,,
Soro,20_1H,N-Acetylglycine,,22.9067240967495,,CSV,,
Soro,20_1H,Myo-Inositol,,23.3452154110593,,CSV,,
Soro,20_1H,1-Methylhydantoin,,23.4889826149621,,CSV,,
Soro,20_1H,Citraconate,,28.1279812889012,,CSV,,
Soro,20_1H,3-PhenylPropionate,,28.4296720216205,,CSV,,
Soro,20_1H,Azelaic ate,,30.3762667072729,,CSV,,
Soro,20_1H,Isobutyrate,,30.7965559132711,,CSV,,
Soro,20_1H,Formate,HMDB00142,31.7569176524342,2.8,CSV,28.9569176524342,1034.18
Soro,20_1H,S-Acetamidomethylcysteine,,34.7295065647315,,CSV,,
Soro,20_1H,GABA,,38.984867648213,,CSV,,
Soro,20_1H,O-Acetyl-L-Carnitine,,42.3235092010227,,CSV,,
Soro,20_1H,Methylmalonate,,42.9674547649084,,CSV,,
Soro,20_1H,Ethanolamine,HMDB00149,44.5874092566818,,CSV,,
Soro,20_1H,Pyruvate,HMDB00243,46.5860680954904,16.7,CSV,29.886068095490398,178.96
Soro,20_1H,Ethylmalonate,,47.836667091773,,CSV,,
Soro,20_1H,Propionate,,49.4292266017284,,CSV,,
Soro,20_1H,7-Methylxanthine,,51.8702351484298,,CSV,,
Soro,20_1H,2-Hydroxybutyrate,,52.0155205298796,12.9,CSV,39.1155205298796,303.22
Soro,20_1H,Sebacate,,52.2709314282637,,CSV,,
Soro,20_1H,Tyrosine,HMDB00158,53.9648449847006,22.2,CSV,31.7648449847006,143.08
Soro,20_1H,Aspartate,,54.6501974436865,10.1,CSV,44.5501974436865,441.09
Soro,20_1H,Malate,,55.9304997109783,,CSV,,
Soro,20_1H,Isovalerate,,58.8729136628002,,CSV,,
Soro,20_1H,3-Methyl-L-Histidine,,59.2095895231033,,CSV,,
Soro,20_1H,Beta-Alanine,,62.200647695837,,CSV,,
Soro,20_1H,2-Methylglutarate,,64.6858081571862,,CSV,,
Soro,20_1H,Phosphocholine,,68.3955023531866,,CSV,,
Soro,20_1H,Spermidine,,69.7037728368129,,CSV,,
Soro,20_1H,2-Oxoisovalerate,,72.2254788709029,,CSV,,
Soro,20_1H,Lactose,,75.2323185313875,,CSV,,
Soro,20_1H,Galactitol,,78.7141691104697,,CSV,,
Soro,20_1H,Saturated_fattty_acids,,80.7604658501958,,CSV,,
