PPM,01RCF_ex1_p1,02RCF_ex1_p1,03RCF_ex1_p1,04RCF_ex1_p1,05RCF_ex1_p1
-4.826579692719223,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.826480332997491,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.826380973275757,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.826281613554023,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.826182253832291,0.0,-1288.7821441019933,-718.3077593573039,1253.8166978320369,0.0
-4.826082894110558,0.0,-1288.7821441019933,-718.3077593573039,1253.8166978320369,0.0
-4.825983534388824,0.0,-1288.7821441019933,-718.3077593573039,1253.8166978320369,0.0
-4.82588417466709,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1253.8166978320369,0.0
-4.825784814945358,-1039.9941105730404,0.0,-1436.6155187146078,1253.8166978320369,-1253.5073840982539
-4.825685455223624,-1039.9941105730404,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.82558609550189,-1039.9941105730404,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.825486735780158,-1039.9941105730404,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.8253873760584245,-1039.9941105730404,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.825288016336691,0.0,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.825188656614957,0.0,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.825089296893225,0.0,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.824989937171491,0.0,0.0,-1436.6155187146078,1253.8166978320369,0.0
-4.824890577449757,0.0,0.0,-718.3077593573039,1253.8166978320369,0.0
-4.824791217728025,0.0,0.0,-718.3077593573039,1253.8166978320369,0.0
-4.824691858006291,0.0,0.0,-718.3077593573039,1253.8166978320369,0.0
-4.824592498284558,0.0,0.0,-718.3077593573039,1253.8166978320369,0.0
-4.824493138562824,0.0,0.0,-718.3077593573039,1253.8166978320369,0.0
-4.824393778841092,0.0,0.0,-718.3077593573039,1149.3319730127005,0.0
-4.824294419119358,0.0,0.0,-718.3077593573039,1149.3319730127005,0.0
-4.824195059397624,0.0,0.0,-718.3077593573039,1149.3319730127005,0.0
-4.824095699675892,0.0,0.0,-1436.6155187146078,1149.3319730127005,0.0
-4.823996339954158,0.0,0.0,-1436.6155187146078,1044.847248193364,0.0
-4.8238969802324245,0.0,0.0,-1436.6155187146078,1044.847248193364,0.0
-4.823797620510691,0.0,0.0,-1436.6155187146078,1044.847248193364,0.0
-4.823698260788959,0.0,0.0,-1436.6155187146078,1044.847248193364,0.0
-4.823598901067225,0.0,-1288.7821441019933,-1436.6155187146078,1044.847248193364,0.0
-4.823499541345491,0.0,-1288.7821441019933,-1436.6155187146078,1044.847248193364,0.0
-4.823400181623759,0.0,-1288.7821441019933,-1436.6155187146078,1044.847248193364,0.0
-4.823300821902025,0.0,-1288.7821441019933,-1436.6155187146078,1044.847248193364,0.0
-4.823201462180291,0.0,-1288.7821441019933,-1436.6155187146078,940.3625233740277,0.0
-4.823102102458558,0.0,-1288.7821441019933,-718.3077593573039,940.3625233740277,0.0
-4.823002742736826,0.0,-1288.7821441019933,-718.3077593573039,940.3625233740277,0.0
-4.822903383015092,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.822804023293358,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.822704663571626,0.0,0.0,-718.3077593573039,835.8777985546913,0.0
-4.822605303849892,0.0,0.0,-718.3077593573039,835.8777985546913,0.0
-4.822505944128158,0.0,-1288.7821441019933,-718.3077593573039,835.8777985546913,0.0
-4.822406584406425,0.0,-1288.7821441019933,-718.3077593573039,835.8777985546913,0.0
-4.8223072246846925,0.0,-1288.7821441019933,-718.3077593573039,835.8777985546913,0.0
-4.822207864962959,0.0,-1288.7821441019933,-718.3077593573039,835.8777985546913,0.0
-4.822108505241225,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.822009145519493,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.821909785797759,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.821810426076025,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.8217110663542915,0.0,0.0,-718.3077593573039,940.3625233740277,0.0
-4.8216117066325594,0.0,-1288.7821441019933,-718.3077593573039,940.3625233740277,0.0
-4.821512346910826,0.0,-1288.7821441019933,-718.3077593573039,940.3625233740277,0.0
-4.821412987189092,0.0,-1288.7821441019933,-718.3077593573039,940.3625233740277,0.0
