Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,2_1H,Mandelate,,11.6879911129935,,,
Soro,2_1H,D-Gluconate,,11.9933061772555,,,
Soro,2_1H,Dimethylamine,HMDB00087,13.3210218463981,,,
Soro,2_1H,Glycerophosphocholine,,13.8240081202785,,,
Soro,2_1H,GABA,,14.0540545745909,,,
Soro,2_1H,Allantoin,,14.9123241272784,,,
Soro,2_1H,Fumarate,,15.173315657387,,,
Soro,2_1H,Threitol,,15.6137699839602,,,
Soro,2_1H,2-Methylglutarate,,16.106945907388,,,
Soro,2_1H,4-AminoHippurate,,16.9256781912394,,,
Soro,2_1H,Sarcosine,,17.0720462868887,,,
Soro,2_1H,Phenylglyoxylate,,18.0626437089473,,,
Soro,2_1H,Quinolinate,,18.901752616011,,,
Soro,2_1H,Vanillate,,20.1622697248032,,,
Soro,2_1H,Acetoacetate,HMDB00060,21.6830598206625,4.4,17.2830598206625,392.8
Soro,2_1H,4-EthylPhenol,,23.309070246958,,,
Soro,2_1H,Uracil,HMDB00300,24.7833791703695,,,
Soro,2_1H,2-Oxoisovalerate,,24.8229520702581,,,
Soro,2_1H,Hippurate,HMDB00714,26.5030923676374,,,
Soro,2_1H,Levulinate,,27.5024519676201,,,
Soro,2_1H,Formate,HMDB00142,27.6766766353617,6.8,20.8766766353617,307.01
Soro,2_1H,Indoxylsulfate,,28.9925076620802,,,
Soro,2_1H,"1,3-Diaminopropane",,29.1598107557427,,,
Soro,2_1H,Creatine,HMDB00064,31.9525820351608,7.2,24.7525820351608,343.79
Soro,2_1H,Asparagine,HMDB00168,33.8529443471131,15.0,18.8529443471131,125.69
Soro,2_1H,Pyrocatechol,,35.2129312565398,,,
Soro,2_1H,Beta-Alanine,,35.267568658535,,,
Soro,2_1H,3-PhenylPropionate,,38.0637317662394,,,
Soro,2_1H,Cytosine,,40.019348629779,,,
Soro,2_1H,Urocanate,HMDB00301,40.3784266838606,,,
Soro,2_1H,Isovalerate,,43.4426434351688,,,
Soro,2_1H,Tryptophan,HMDB00929,43.904876099993,,,
Soro,2_1H,Benzoate,,44.5988092751409,10.9,33.6988092751409,309.16
Soro,2_1H,N-(2-Furoyl)Glycine,,44.8508486402821,,,
Soro,2_1H,Fucose,HMDB00174,45.1084104021782,,,
Soro,2_1H,Pantothenate,HMDB00210,45.2887759462692,,,
Soro,2_1H,Betaine,HMDB00043,47.1912761182274,10.1,37.0912761182274,367.24
Soro,2_1H,N-Acetyl-L-Aspartate,,49.5834478249736,,,
Soro,2_1H,Phenethylamine,,50.1061903913143,,,
Soro,2_1H,Fructose,HMDB00660,50.2236269181618,,,
Soro,2_1H,Anserine,,50.5130132854341,,,
Soro,2_1H,alpha-Hydroxyisobutyrate,,51.8972066203455,,,
Soro,2_1H,Saturated_fattty_acids,,57.5845017754211,,,
Soro,2_1H,2-Deoxycytidine,,62.2391491680323,,,
Soro,2_1H,Succinate,HMDB00254,64.2946458908923,3.8,60.4946458908923,1591.96
Soro,2_1H,2-HydroxyphenylAcetate,,67.3943873555614,,,
Soro,2_1H,trans-Ferulate,,68.0493618653666,,,
Soro,2_1H,Isocitrate,,68.7683197079991,,,
